segment,case,metric,value,unit,source_id,notes
Services Hardware,base,EBITDA margin,0.10,percent,ANALYST-SEED,Stable low-margin contribution
Services Hardware,bull,EBITDA margin,0.12,percent,ANALYST-SEED,Some operating leverage from deployment scale
Services Hardware,bear,EV/EBITDA multiple,5.0,multiple,ANALYST-SEED,Low-growth services multiple
Services Hardware,base,EV/EBITDA multiple,6.0,multiple,ANALYST-SEED,Small stable business multiple
Services Hardware,bull,EV/EBITDA multiple,7.0,multiple,ANALYST-SEED,Improved mix multiple
Services Hardware,bear,discount factor,0.70,multiple,ANALYST-SEED,Present-value factor to FY2030
Services Hardware,base,discount factor,0.68,multiple,ANALYST-SEED,Present-value factor to FY2030
Services Hardware,bull,discount factor,0.64,multiple,ANALYST-SEED,Present-value factor to FY2030
Market,base,current price,184.13,USD/share,MW-ORCL-PRICE,Closing price on June 12 2026
Market,base,current equity value,552.39,USD billions,ANALYST-SEED,Current price multiplied by 3.00 billion fully diluted shares
Market,base,FY2027 revenue guide,90.0,USD billions,ORCL-Q4-FY2026,Management reaffirmed full-year FY2027 revenue target
Market,base,FY2027 adjusted EPS guide,8.05,USD/share,ORCL-Q4-FY2026,Management raised adjusted EPS outlook
Market,base,remaining performance obligations,638.0,USD billions,ORCL-Q4-FY2026,RPO after fiscal Q4 FY2026
Market,base,FY2026 capex,55.7,USD billions,IBD-ORCL-Q4-FY2026,FY2026 capital expenditures
Market,base,FY2026 free cash flow,-23.7,USD billions,IBD-ORCL-Q4-FY2026,FY2026 free cash flow after AI infrastructure buildout
Market,base,FY2027 gross capex guide,92.5,USD billions,IBD-ORCL-Q4-FY2026,Midpoint of management commentary for FY2027 capex before customer funding
Market,base,FY2027 net capex cash outlay,70.0,USD billions,MW-ORCL-Q4-FY2026,Expected net cash outlay after customer prepayments and timing
Capital,base,cash,20.0,USD billions,ANALYST-SEED,Placeholder pending FY2026 10-K extraction
Capital,base,debt and lease liabilities,156.0,USD billions,BARRONS-ORCL-AI,Debt and lease liability reference for AI buildout burden
Capital,base,dilution,20.0,USD billions,ORCL-Q4-FY2026,Pending at-the-market equity issuance treated as dilution bridge
Capital,base,fully diluted shares,3.0,billions,ANALYST-SEED,Round share-count placeholder for screen-grade model
